baseline lenth (cm),mininum distance(m),Error at min distance,0.5m,1m,2m,5m,10m,20m,50m
10,0.16,0.02,0.15,0.6,2.43,15.4,63.8,272,2140
12,0.2,0.02,0.13,0.5,2.02,12.8,52.6,222,1665
14,0.23,0.02,0.11,0.43,1.73,10.9,44.7,187,1362
16,0.26,0.03,0.09,0.38,1.51,9.55,38.9,162,1153
18,0.3,0.03,0.08,0.33,1.34,8.47,34.5,143,999
20,0.33,0.03,0.08,0.3,1.21,7.61,30.9,128,881
22,0.36,0.04,0.07,0.27,1.1,6.91,28,115,789
24,0.39,0.04,0.06,0.25,1,6.32,25.6,105,714
26,0.43,0.04,0.06,0.23,0.93,5.83,23.6,96.7,652
28,0.46,0.05,0.05,0.21,0.86,5.41,21.9,89.5,599
30,0.49,0.05,0.05,0.2,0.8,5.05,20.4,83.3,555
32,0.52,0.05,-,0.19,0.75,4.73,19.1,77.9,517
34,0.56,0.06,-,0.18,0.71,4.45,17.9,73.1,483
36,0.59,0.06,-,0.17,0.67,4.2,16.9,68.9,454
38,0.62,0.06,-,0.16,0.63,3.98,16,65.2,428
40,0.66,0.07,-,0.15,0.6,3.78,15.2,61.8,405
42,0.69,0.07,-,0.14,0.57,3.59,14.5,58.8,384
44,0.72,0.07,-,0.14,0.55,3.43,13.8,56,366
46,0.75,0.08,-,0.13,0.52,3.28,13.2,53.5,349
48,0.79,0.08,-,0.13,0.5,3.14,12.6,51.2,333
50,0.82,0.08,-,0.12,0.48,3.02,12.1,49.1,319
54,0.88,0.09,-,0.11,0.45,2.79,11.2,45.4,294
58,0.95,0.09,-,0.1,0.41,2.6,10.4,42.2,272
62,1.01,0.1,-,-,0.39,2.43,9.76,39.4,254
66,1.08,0.11,-,-,0.36,2.28,9.17,37,238
70,1.15,0.11,-,-,0.34,2.15,8.64,34.9,224
74,1.21,0.12,-,-,0.32,2.03,8.17,32.9,211
78,1.28,0.13,-,-,0.31,1.93,7.75,31.2,200
82,1.34,0.13,-,-,0.29,1.83,7.36,29.7,190
86,1.41,0.14,-,-,0.28,1.75,7.02,28.3,181
90,1.47,0.15,-,-,0.27,1.67,6.71,27,172
95,1.55,0.15,-,-,0.25,1.58,6.35,25.6,163
100,1.64,0.16,-,-,0.24,1.5,6.03,24.3,154
